Station	MonY	StatValue 
Kaitaia4	198408	9
Kaitaia4	198409	8.8
Kaitaia4	198410	8.8
Kaitaia4	198411	13.3
Kaitaia4	198412	14.9
Kaitaia4	198501	14.7
Kaitaia4	198502	14.4
Kaitaia4	198503	13.8
Kaitaia4	198504	13.5
Kaitaia4	198505	8.9
